iter	Logloss
0	0.6871071719
1	0.6808493539
2	0.6746164386
3	0.6683103583
4	0.6625486224
5	0.6577259449
6	0.6531348068
7	0.6490908848
8	0.6438365465
9	0.6385735501
10	0.6330839007
11	0.6275834501
12	0.6221681231
13	0.6170719447
14	0.612244381
15	0.6083482892
16	0.603676228
17	0.5996608948
18	0.5949975346
19	0.5909774009
20	0.5874711797
21	0.5830209282
22	0.5796678093
23	0.5773853773
24	0.5735709373
25	0.5695358448
26	0.5653593942
27	0.5634947359
28	0.5605903797
29	0.557387277
30	0.5539311613
31	0.5505455531
32	0.5472478116
33	0.5445189744
34	0.5413947373
35	0.5390184381
36	0.5356748345
37	0.5327106862
38	0.5298270751
39	0.5276504259
40	0.5245586781
41	0.5213485032
42	0.5185851194
43	0.515867169
44	0.5128984773
45	0.5105611823
46	0.5083525583
47	0.5061034299
48	0.5036123469
49	0.502032505
50	0.5005610177
51	0.4984955948
52	0.4962489096
53	0.4940128541
54	0.4917046193
55	0.4895143402
56	0.4875692303
57	0.4855391256
58	0.4842565729
59	0.4828716664
60	0.4808496197
61	0.4790906585
62	0.4770356082
63	0.4751132579
64	0.4741568833
65	0.4725460095
66	0.4711921778
67	0.4691642161
68	0.4673723371
69	0.4661908953
70	0.4644230618
71	0.4628312186
72	0.4614209379
73	0.4597938195
74	0.4586431525
75	0.4569445835
76	0.455904157
77	0.454950997
78	0.4535314581
79	0.4521090047
80	0.4512777007
81	0.4499119105
82	0.4490834783
83	0.4475408404
84	0.4462623596
85	0.4450566153
86	0.4435555962
87	0.4428078298
88	0.441796635
89	0.4413110969
90	0.4408345598
91	0.4403181612
92	0.4392640617
93	0.438024328
94	0.4367910664
95	0.4359991524
96	0.4352538291
97	0.4342046588
98	0.433618867
99	0.4324006499
100	0.4314742785
101	0.431059248
102	0.4301701235
103	0.429016499
104	0.427938697
105	0.4271299384
106	0.4260467358
107	0.4251955011
108	0.4245389445
109	0.4238293251
110	0.4233507306
111	0.4225015533
112	0.4221997636
113	0.421669435
114	0.4213796894
115	0.420956901
116	0.4200117133
117	0.4191804522
118	0.418590117
119	0.4181011071
120	0.4172817616
121	0.4164694883
122	0.4158120316
123	0.4150663226
124	0.4148303257
125	0.4143825917
126	0.4137218347
127	0.4131287564
128	0.4124016065
129	0.4120068925
130	0.4114295874
131	0.4106046269
132	0.4100044336
133	0.4094894495
134	0.4089204167
135	0.4082831908
136	0.4078117542
137	0.4070502721
138	0.4064275334
139	0.4055412807
140	0.4053714195
141	0.4049470023
142	0.4044180024
143	0.4037702753
144	0.4033179551
145	0.402796456
146	0.40234375
147	0.4019834968
148	0.4012894363
149	0.4008491173
150	0.4001617003
151	0.4000255285
152	0.3997160665
153	0.3992642606
154	0.3987118153
155	0.3984336853
156	0.3980847905
157	0.3978351636
158	0.3975685205
159	0.3970025309
160	0.3964839464
161	0.3960558431
162	0.3957310794
163	0.3954232034
164	0.3951013972
165	0.3947091263
166	0.3942441619
167	0.3940845447
168	0.3937081326
169	0.3936531838
170	0.3932189513
171	0.3927515008
172	0.3923961768
173	0.3919715453
174	0.39177661
175	0.3916099634
176	0.3911321404
177	0.3906596323
178	0.3902214565
179	0.389998361
180	0.3897550776
181	0.389573258
182	0.3893381183
183	0.3890298565
184	0.3887153368
185	0.3883417537
186	0.3880074319
187	0.3876029883
188	0.3871486535
189	0.3867428383
190	0.3862834888
191	0.3858459987
192	0.385633833
193	0.3851507808
194	0.3848670359
195	0.3844774225
196	0.3841639315
197	0.3838569555
198	0.3835098609
199	0.3830726709
200	0.3827416066
201	0.3826500968
202	0.3823579081
203	0.3820120994
204	0.3816397163
205	0.3810433377
206	0.3806649969
207	0.3803761943
208	0.3803194882
209	0.3801013218
210	0.3796332713
211	0.3792686891
212	0.3789798865
213	0.3788236554
214	0.3784452288
215	0.3782278768
216	0.3780169541
217	0.3777302946
218	0.3773792995
219	0.3771716343
220	0.3769658978
221	0.3766840817
222	0.3766407484
223	0.3765412663
224	0.3762063016
225	0.3758948251
226	0.3755942784
227	0.3755239851
228	0.3752597852
229	0.3750694789
230	0.374753802
231	0.3746830372
232	0.3746534198
233	0.3744338818
234	0.3741803544
235	0.3738218157
236	0.373535842
237	0.3732065779
238	0.3730858792
239	0.3728032059
240	0.3726155142
