iter	Passed	Remaining
0	4	4468
1	8	4380
2	12	4304
3	16	4228
4	21	4262
5	25	4163
6	28	4060
7	33	4208
8	38	4249
9	43	4349
10	48	4377
11	53	4384
12	58	4454
13	63	4486
14	69	4542
15	74	4566
16	78	4535
17	82	4488
18	86	4465
19	90	4449
20	94	4426
21	99	4401
22	102	4343
23	104	4254
24	110	4303
25	114	4303
26	119	4297
27	121	4224
28	124	4172
29	128	4165
30	132	4153
31	137	4164
32	142	4178
33	147	4193
34	152	4194
35	155	4172
36	160	4174
37	164	4165
38	168	4154
39	172	4141
40	176	4133
41	181	4132
42	186	4141
43	190	4146
44	195	4139
45	199	4131
46	203	4122
47	207	4121
48	211	4112
49	214	4082
50	219	4075
51	224	4087
52	228	4081
53	233	4087
54	237	4081
55	241	4073
56	245	4067
57	250	4064
58	253	4049
59	258	4045
60	262	4036
61	266	4026
62	270	4022
63	274	4012
64	277	3987
65	281	3978
66	284	3966
67	289	3967
68	294	3971
69	299	3975
70	303	3967
71	307	3960
72	311	3952
73	315	3943
74	319	3935
75	323	3931
76	326	3907
77	329	3897
78	333	3887
79	337	3877
80	340	3859
81	343	3850
82	346	3828
83	350	3820
84	354	3813
85	358	3806
86	361	3798
87	365	3784
88	368	3770
89	370	3747
90	372	3723
91	375	3704
92	379	3703
93	384	3703
94	388	3698
95	391	3687
96	395	3682
97	399	3680
98	402	3662
99	406	3661
100	411	3664
101	415	3656
102	419	3654
103	424	3654
104	428	3652
105	433	3652
106	437	3652
107	441	3647
108	446	3650
109	450	3645
110	453	3633
111	458	3632
112	460	3616
113	463	3603
114	465	3584
115	468	3571
116	473	3575
117	477	3571
118	481	3567
119	486	3569
120	490	3565
121	495	3562
122	499	3559
123	503	3555
124	505	3539
125	510	3538
126	514	3534
127	519	3538
128	524	3542
129	528	3537
130	532	3532
131	537	3531
132	540	3526
133	545	3522
134	549	3519
135	553	3514
136	556	3506
137	560	3503
138	564	3498
139	568	3493
140	572	3486
141	575	3478
142	579	3473
143	583	3468
144	587	3466
145	592	3465
146	597	3466
147	601	3461
148	605	3457
149	610	3462
150	615	3459
151	618	3452
152	622	3445
153	627	3448
154	632	3449
155	638	3452
156	642	3450
157	646	3443
158	650	3441
159	655	3440
160	659	3437
161	663	3434
162	667	3429
163	672	3427
164	676	3422
165	680	3418
166	684	3413
167	686	3401
168	690	3395
169	692	3382
170	696	3375
171	700	3373
172	704	3369
173	709	3365
174	711	3355
175	714	3345
176	718	3341
177	722	3337
178	727	3334
179	730	3329
180	735	3328
181	739	3325
182	742	3316
183	747	3313
184	751	3310
185	755	3306
186	760	3306
187	764	3303
188	768	3298
189	773	3296
190	777	3295
191	781	3290
192	785	3284
193	789	3281
194	793	3276
195	798	3275
196	802	3272
197	806	3267
198	811	3264
199	815	3261
200	819	3257
